win,lose,probability
Detroit Pistons,Charlotte Hornets,0.53
Orlando Magic,Cleveland Cavaliers,0.67
Utah Jazz,Indiana Pacers,0.63
Philadelphia 76ers,Sacramento Kings,0.69
Toronto Raptors,New York Knicks,0.89
Miami Heat,Houston Rockets,0.51
Los Angeles Clippers,Memphis Grizzlies,0.78
Milwaukee Bucks,Atlanta Hawks,0.91
Minnesota Timberwolves,San Antonio Spurs,0.51
Phoenix Suns,Washington Wizards,0.53
Los Angeles Lakers,New Orleans Pelicans,0.84
Oklahoma City Thunder,Portland Trail Blazers,0.68
Golden State Warriors,Chicago Bulls,0.6
Boston Celtics,Brooklyn Nets,0.75
Charlotte Hornets,Detroit Pistons,0.55
Toronto Raptors,Orlando Magic,0.81
Milwaukee Bucks,Cleveland Cavaliers,0.94
Philadelphia 76ers,New York Knicks,0.71
Indiana Pacers,Atlanta Hawks,0.81
Utah Jazz,Memphis Grizzlies,0.71
Miami Heat,Golden State Warriors,0.86
Oklahoma City Thunder,New Orleans Pelicans,0.63
Los Angeles Clippers,San Antonio Spurs,0.83
Dallas Mavericks,Phoenix Suns,0.74
Portland Trail Blazers,Chicago Bulls,0.74
Los Angeles Lakers,Washington Wizards,0.86
Denver Nuggets,Sacramento Kings,0.7
Indiana Pacers,Philadelphia 76ers,0.55
Houston Rockets,Atlanta Hawks,0.87
Milwaukee Bucks,Charlotte Hornets,0.85
Miami Heat,Brooklyn Nets,0.72
Memphis Grizzlies,Minnesota Timberwolves,0.71
Boston Celtics,New York Knicks,0.82
Los Angeles Lakers,Dallas Mavericks,0.66
San Antonio Spurs,Detroit Pistons,0.72
Oklahoma City Thunder,New Orleans Pelicans,0.68
Orlando Magic,Golden State Warriors,0.7
Toronto Raptors,Utah Jazz,0.58
Los Angeles Clippers,Washington Wizards,0.78
Phoenix Suns,Charlotte Hornets,0.61
Utah Jazz,Philadelphia 76ers,0.53
Atlanta Hawks,Golden State Warriors,0.7
Indiana Pacers,Memphis Grizzlies,0.73
Milwaukee Bucks,New York Knicks,0.9
Sacramento Kings,Chicago Bulls,0.71
Cleveland Cavaliers,Detroit Pistons,0.54
Orlando Magic,Washington Wizards,0.66
Dallas Mavericks,New Orleans Pelicans,0.68
Toronto Raptors,Miami Heat,0.58
Houston Rockets,San Antonio Spurs,0.76
Los Angeles Lakers,Denver Nuggets,0.69
Los Angeles Clippers,Portland Trail Blazers,0.73
Charlotte Hornets,Golden State Warriors,0.63
