WTeam,LTeam,WLoc
Washington Wizards,Phoenix Suns,V
Los Angeles Lakers,New Orleans Pelicans,V
Portland Trail Blazers,Oklahoma City Thunder,H
Golden State Warriors,Chicago Bulls,H
Brooklyn Nets,Boston Celtics,H
Charlotte Hornets,Detroit Pistons,V
Toronto Raptors,Orlando Magic,V
Milwaukee Bucks,Cleveland Cavaliers,V
Philadelphia 76ers,New York Knicks,V
Indiana Pacers,Atlanta Hawks,H
Utah Jazz,Memphis Grizzlies,V
Miami Heat,Golden State Warriors,H
Oklahoma City Thunder,New Orleans Pelicans,H
San Antonio Spurs,Los Angeles Clippers,H
Dallas Mavericks,Phoenix Suns,V
Portland Trail Blazers,Chicago Bulls,H
Los Angeles Lakers,Washington Wizards,H
Sacramento Kings,Denver Nuggets,H
Philadelphia 76ers,Indiana Pacers,H
Houston Rockets,Atlanta Hawks,H
Milwaukee Bucks,Charlotte Hornets,H
Miami Heat,Brooklyn Nets,V
Memphis Grizzlies,Minnesota Timberwolves,V
Boston Celtics,New York Knicks,V
Dallas Mavericks,Los Angeles Lakers,V
Detroit Pistons,San Antonio Spurs,H
Oklahoma City Thunder,New Orleans Pelicans,V
Orlando Magic,Golden State Warriors,H
Toronto Raptors,Utah Jazz,H
Los Angeles Clippers,Washington Wizards,H
Phoenix Suns,Charlotte Hornets,V
Philadelphia 76ers,Utah Jazz,H
Atlanta Hawks,Golden State Warriors,H
Indiana Pacers,Memphis Grizzlies,V
Milwaukee Bucks,New York Knicks,H
Chicago Bulls,Sacramento Kings,V
Detroit Pistons,Cleveland Cavaliers,V
Orlando Magic,Washington Wizards,V
Dallas Mavericks,New Orleans Pelicans,V
Miami Heat,Toronto Raptors,V
San Antonio Spurs,Houston Rockets,H
Los Angeles Lakers,Denver Nuggets,V
Los Angeles Clippers,Portland Trail Blazers,H
Charlotte Hornets,Golden State Warriors,H
Milwaukee Bucks,Detroit Pistons,V
Orlando Magic,Phoenix Suns,H
Brooklyn Nets,Atlanta Hawks,V
Boston Celtics,Miami Heat,H
Chicago Bulls,Memphis Grizzlies,H
Indiana Pacers,Oklahoma City Thunder,V
Dallas Mavericks,Minnesota Timberwolves,H
Los Angeles Lakers,Utah Jazz,V
Portland Trail Blazers,Sacramento Kings,H
Washington Wizards,Philadelphia 76ers,H
Denver Nuggets,New York Knicks,V
Houston Rockets,Toronto Raptors,V
Phoenix Suns,New Orleans Pelicans,V
Brooklyn Nets,Charlotte Hornets,V
Orlando Magic,Cleveland Cavaliers,V
Detroit Pistons,Indiana Pacers,H
Boston Celtics,Denver Nuggets,H
Golden State Warriors,Chicago Bulls,V
Miami Heat,Washington Wizards,H
Oklahoma City Thunder,Minnesota Timberwolves,H
Milwaukee Bucks,Los Angeles Clippers,H
San Antonio Spurs,Sacramento Kings,H
Los Angeles Lakers,Portland Trail Blazers,V
Dallas Mavericks,New Orleans Pelicans,H
Indiana Pacers,New York Knicks,V
Philadelphia 76ers,Cleveland Cavaliers,H
Houston Rockets,Phoenix Suns,H
Utah Jazz,Memphis Grizzlies,H
Brooklyn Nets,Denver Nuggets,H
Atlanta Hawks,Charlotte Hornets,V
Miami Heat,Chicago Bulls,H
Philadelphia 76ers,Toronto Raptors,H
Los Angeles Clippers,Washington Wizards,V
Sacramento Kings,Dallas Mavericks,V
Oklahoma City Thunder,Portland Trail Blazers,V
Los Angeles Lakers,Minnesota Timberwolves,H
Los Angeles Clippers,Indiana Pacers,V
Boston Celtics,Cleveland Cavaliers,H
Toronto Raptors,Chicago Bulls,V
Sacramento Kings,Houston Rockets,V
Milwaukee Bucks,Orlando Magic,H
Detroit Pistons,New Orleans Pelicans,V
Phoenix Suns,Minnesota Timberwolves,H
Oklahoma City Thunder,Utah Jazz,V
Memphis Grizzlies,Golden State Warriors,V
Charlotte Hornets,Washington Wizards,H
Miami Heat,Atlanta Hawks,H
Philadelphia 76ers,Denver Nuggets,H
Portland Trail Blazers,New York Knicks,H
Houston Rockets,Cleveland Cavaliers,V
Indiana Pacers,Boston Celtics,H
Los Angeles Lakers,Orlando Magic,V
Los Angeles Clippers,Toronto Raptors,V
Charlotte Hornets,Brooklyn Nets,V
Chicago Bulls,Atlanta Hawks,H
Utah Jazz,Minnesota Timberwolves,V
Memphis Grizzlies,Phoenix Suns,V
Milwaukee Bucks,New Orleans Pelicans,H
Sacramento Kings,Oklahoma City Thunder,H
New York Knicks,Golden State Warriors,V
Philadelphia 76ers,Boston Celtics,V
Cleveland Cavaliers,San Antonio Spurs,V
Dallas Mavericks,Detroit Pistons,V
Denver Nuggets,Portland Trail Blazers,H
Los Angeles Lakers,Miami Heat,V
Houston Rockets,Orlando Magic,V
Philadelphia 76ers,New Orleans Pelicans,H
Indiana Pacers,Atlanta Hawks,V
Charlotte Hornets,Chicago Bulls,V
Milwaukee Bucks,Memphis Grizzlies,V
Utah Jazz,Golden State Warriors,H
Los Angeles Clippers,Minnesota Timberwolves,V
New York Knicks,Sacramento Kings,V
San Antonio Spurs,Phoenix Suns,V
Toronto Raptors,Brooklyn Nets,H
Chicago Bulls,Los Angeles Clippers,H
Memphis Grizzlies,Washington Wizards,H
Miami Heat,Dallas Mavericks,V
Milwaukee Bucks,Cleveland Cavaliers,H
Denver Nuggets,Oklahoma City Thunder,H
Detroit Pistons,Houston Rockets,V
Orlando Magic,New Orleans Pelicans,V
Indiana Pacers,Charlotte Hornets,H
Los Angeles Lakers,Atlanta Hawks,V
Brooklyn Nets,Philadelphia 76ers,H
Denver Nuggets,New York Knicks,H
Sacramento Kings,Golden State Warriors,V
Washington Wizards,Detroit Pistons,V
Toronto Raptors,Cleveland Cavaliers,H
Houston Rockets,San Antonio Spurs,H
Memphis Grizzlies,Miami Heat,H
Dallas Mavericks,Milwaukee Bucks,V
Oklahoma City Thunder,Chicago Bulls,H
Portland Trail Blazers,Phoenix Suns,V
Charlotte Hornets,Sacramento Kings,H
Indiana Pacers,Los Angeles Lakers,H
New York Knicks,Atlanta Hawks,H
Brooklyn Nets,New Orleans Pelicans,V
Utah Jazz,Orlando Magic,H
Los Angeles Clippers,Phoenix Suns,H
Cleveland Cavaliers,Charlotte Hornets,H
Toronto Raptors,Detroit Pistons,V
Miami Heat,Philadelphia 76ers,V
Chicago Bulls,Washington Wizards,V
New Orleans Pelicans,Minnesota Timberwolves,V
Oklahoma City Thunder,Memphis Grizzlies,H
Denver Nuggets,Orlando Magic,H
Boston Celtics,Dallas Mavericks,V
Portland Trail Blazers,Golden State Warriors,H
Utah Jazz,Atlanta Hawks,V
Milwaukee Bucks,Los Angeles Lakers,H
San Antonio Spurs,Brooklyn Nets,H
Houston Rockets,Los Angeles Clippers,V
Cleveland Cavaliers,Memphis Grizzlies,H
Indiana Pacers,Sacramento Kings,H
Boston Celtics,Detroit Pistons,H
Toronto Raptors,Washington Wizards,H
Miami Heat,New York Knicks,H
Oklahoma City Thunder,Phoenix Suns,H
Dallas Mavericks,Philadelphia 76ers,V
Denver Nuggets,Minnesota Timberwolves,H
Portland Trail Blazers,Orlando Magic,H
Golden State Warriors,New Orleans Pelicans,H
Utah Jazz,Charlotte Hornets,V
Brooklyn Nets,Atlanta Hawks,H
Chicago Bulls,Detroit Pistons,V
Philadelphia 76ers,Washington Wizards,H
Milwaukee Bucks,New York Knicks,V
Memphis Grizzlies,Sacramento Kings,H
Los Angeles Clippers,San Antonio Spurs,V
Houston Rockets,Phoenix Suns,V
Portland Trail Blazers,Minnesota Timberwolves,H
Toronto Raptors,Dallas Mavericks,H
Boston Celtics,Charlotte Hornets,H
Milwaukee Bucks,Indiana Pacers,H
Oklahoma City Thunder,Los Angeles Clippers,H
Denver Nuggets,Los Angeles Lakers,V
Cleveland Cavaliers,Atlanta Hawks,H
Philadelphia 76ers,Detroit Pistons,V
Indiana Pacers,Toronto Raptors,H
Washington Wizards,New York Knicks,V
Orlando Magic,Chicago Bulls,H
Miami Heat,Utah Jazz,H
San Antonio Spurs,Memphis Grizzlies,V
Denver Nuggets,Phoenix Suns,V
New Orleans Pelicans,Portland Trail Blazers,V
Houston Rockets,Sacramento Kings,V
Golden State Warriors,Minnesota Timberwolves,H
